2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.56: 401, message='Unauthorized', url=URL('https://10.101.25.56/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.18: 401, message='Unauthorized', url=URL('https://10.101.26.18/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.35: 401, message='Unauthorized', url=URL('https://10.101.25.35/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.36: 401, message='Unauthorized', url=URL('https://10.101.25.36/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.19: 401, message='Unauthorized', url=URL('https://10.101.26.19/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.57: 401, message='Unauthorized', url=URL('https://10.101.26.57/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.26: 401, message='Unauthorized', url=URL('https://10.101.26.26/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.53: 401, message='Unauthorized', url=URL('https://10.101.26.53/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.57: 401, message='Unauthorized', url=URL('https://10.101.25.57/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.38: 401, message='Unauthorized', url=URL('https://10.101.25.38/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.40: 401, message='Unauthorized', url=URL('https://10.101.25.40/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.28: 401, message='Unauthorized', url=URL('https://10.101.26.28/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.32: 401, message='Unauthorized', url=URL('https://10.101.26.32/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.32: 401, message='Unauthorized', url=URL('https://10.101.25.32/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.20: 401, message='Unauthorized', url=URL('https://10.101.26.20/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.25.49: 401, message='Unauthorized', url=URL('https://10.101.25.49/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
2020-12-02 22:19:09 CST - password - ERROR - Fail to update telemetry attributes on 10.101.26.33: 401, message='Unauthorized', url=URL('https://10.101.26.33/redfish/v1/Managers/iDRAC.Embedded.1/Attributes')
