 Partition        NodeList     Group      User    JobName        JobID              Submit               Start                 End ExitCode CPUTimeRAW TRESUsageInTot TRESUsageOutTot  MaxVMSize  AllocCPUS   NTasks    Cluster TimelimitR     ReqMem 
---------- --------------- --------- --------- ---------- ------------ ------------------- ------------------- ------------------- -------- ---------- -------------- --------------- ---------- ---------- -------- ---------- ---------- ---------- 
    nocona cpu-26-[1-3,16+       ChE  pnourian     lammps 8085         2020-10-30T10:39:18 2020-10-31T09:29:44 2020-11-02T08:30:11      0:0  176974848                                                 1024           redraider       2880     4027Mc 
                  cpu-26-1                          batch 8085.batch   2020-10-31T09:29:44 2020-10-31T09:29:44 2020-11-02T08:30:13     0:15   22122112 cpu=75-01:25:+ energy=0,fs/di+    144180K        128        1  redraider                4027Mc 
           cpu-26-[1-3,16+                         extern 8085.extern  2020-10-31T09:29:44 2020-10-31T09:29:44 2020-11-02T08:30:11      0:0  176974848 cpu=00:00:00,+ energy=0,fs/di+      4352K       1024        8  redraider                4027Mc 
           cpu-26-[2-3,16+                          orted 8085.0       2020-10-31T09:29:45 2020-10-31T09:29:45 2020-11-02T08:30:12      1:0    4839156 cpu=534-02:51+ energy=0,fs/di+    212828K         28        7  redraider                4027Mc 
    nocona  cpu-26-[45-52]       ChE  pnourian     lammps 8088         2020-10-30T10:46:27 2020-10-31T09:39:03 2020-11-02T08:39:11      0:0  176955392                                                 1024           redraider       2880     4027Mc 
                 cpu-26-45                          batch 8088.batch   2020-10-31T09:39:03 2020-10-31T09:39:03 2020-11-02T08:39:12     0:15   22119552 cpu=73-08:59:+ energy=0,fs/di+    144180K        128        1  redraider                4027Mc 
            cpu-26-[45-52]                         extern 8088.extern  2020-10-31T09:39:03 2020-10-31T09:39:03 2020-11-02T08:39:11      0:0  176955392 cpu=00:00:00,+ energy=0,fs/di+      4352K       1024        8  redraider                4027Mc 
            cpu-26-[46-52]                          orted 8088.0       2020-10-31T09:39:04 2020-10-31T09:39:04 2020-11-02T08:39:11      1:0    4838596 cpu=524-04:11+ energy=0,fs/di+    212832K         28        7  redraider                4027Mc 
    nocona cpu-23-[12-23]+        ME    jieyao    CHNRe5K 8155         2020-10-30T12:47:18 2020-10-31T09:30:22 2020-11-02T00:00:33      0:0  582496256                                                 4096           redraider       2880     4027Mc 
                 cpu-23-12                          batch 8155.batch   2020-10-31T09:30:22 2020-10-31T09:30:22 2020-11-02T00:00:33      0:0   18203008 cpu=209-09:49+ energy=0,fs/di+    144188K        128        1  redraider                4027Mc 
           cpu-23-[12-23]+                         extern 8155.extern  2020-10-31T09:30:22 2020-10-31T09:30:22 2020-11-02T00:00:33      0:0  582496256 cpu=00:00:00,+ energy=0,fs/di+      4352K       4096       32  redraider                4027Mc 
           cpu-23-[13-23]+                          orted 8155.0       2020-10-31T09:30:22 2020-10-31T09:30:22 2020-11-02T00:00:47      0:0    4408975 cpu=6492-02:4+ energy=0,fs/di+    281392K         31       31  redraider                4027Mc 
    nocona cpu-23-[1-4],c+      chem   iseason    gromacs 8171         2020-10-30T15:45:48 2020-10-31T05:59:54 2020-11-02T05:00:11      0:0  353929216                                                 2048           redraider       2880     4027Mc 
                  cpu-23-1                          batch 8171.batch   2020-10-31T05:59:54 2020-10-31T05:59:54 2020-11-02T05:00:13     0:15   22120832 cpu=254-09:28+ energy=0,fs/di+    144196K        128        1  redraider                4027Mc 
           cpu-23-[1-4],c+                         extern 8171.extern  2020-10-31T05:59:54 2020-10-31T05:59:54 2020-11-02T05:00:11      0:0  353929216 cpu=00:00:00,+ energy=0,fs/di+      4352K       2048       16  redraider                4027Mc 
