Partition|NodeList|Group|User|JobName|JobID|Submit|Start|End|ExitCode|CPUTimeRAW|TRESUsageInTot|TRESUsageOutTot|MaxVMSize|AllocCPUS|NTasks|Cluster|TimelimitRaw|ReqMem|
nocona|cpu-26-[1-3,16-17,36-38]|ChE|pnourian|lammps|8085|2020-10-30T10:39:18|2020-10-31T09:29:44|2020-11-02T08:30:11|0:0|176974848||||1024||redraider|2880|4027Mc|
|cpu-26-1|||batch|8085.batch|2020-10-31T09:29:44|2020-10-31T09:29:44|2020-11-02T08:30:13|0:15|22122112|cpu=75-01:25:35,energy=0,fs/disk=1127525,mem=7818700K,pages=297,vmem=144180K|energy=0,fs/disk=13796|144180K|128|1|redraider||4027Mc|
|cpu-26-[1-3,16-17,36-38]|||extern|8085.extern|2020-10-31T09:29:44|2020-10-31T09:29:44|2020-11-02T08:30:11|0:0|176974848|cpu=00:00:00,energy=0,fs/disk=17504,mem=0,pages=0,vmem=34M|energy=0,fs/disk=0|4352K|1024|8|redraider||4027Mc|
|cpu-26-[2-3,16-17,36-38]|||orted|8085.0|2020-10-31T09:29:45|2020-10-31T09:29:45|2020-11-02T08:30:12|1:0|4839156|cpu=534-02:51:20,energy=0,fs/disk=78042843,mem=55879696K,pages=1452,vmem=1489796K|energy=0,fs/disk=45061697|212828K|28|7|redraider||4027Mc|
nocona|cpu-26-[45-52]|ChE|pnourian|lammps|8088|2020-10-30T10:46:27|2020-10-31T09:39:03|2020-11-02T08:39:11|0:0|176955392||||1024||redraider|2880|4027Mc|
|cpu-26-45|||batch|8088.batch|2020-10-31T09:39:03|2020-10-31T09:39:03|2020-11-02T08:39:12|0:15|22119552|cpu=73-08:59:51,energy=0,fs/disk=1127525,mem=7812216K,pages=198,vmem=144180K|energy=0,fs/disk=13789|144180K|128|1|redraider||4027Mc|
|cpu-26-[45-52]|||extern|8088.extern|2020-10-31T09:39:03|2020-10-31T09:39:03|2020-11-02T08:39:11|0:0|176955392|cpu=00:00:00,energy=0,fs/disk=17504,mem=0,pages=0,vmem=34M|energy=0,fs/disk=0|4352K|1024|8|redraider||4027Mc|
|cpu-26-[46-52]|||orted|8088.0|2020-10-31T09:39:04|2020-10-31T09:39:04|2020-11-02T08:39:11|1:0|4838596|cpu=524-04:11:10,energy=0,fs/disk=78032209,mem=55696724K,pages=1353,vmem=1489820K|energy=0,fs/disk=45075640|212832K|28|7|redraider||4027Mc|
nocona|cpu-23-[12-23],cpu-24-[35-48,55-60]|ME|jieyao|CHNRe5K|8155|2020-10-30T12:47:18|2020-10-31T09:30:22|2020-11-02T00:00:33|0:0|582496256||||4096||redraider|2880|4027Mc|
|cpu-23-12|||batch|8155.batch|2020-10-31T09:30:22|2020-10-31T09:30:22|2020-11-02T00:00:33|0:0|18203008|cpu=209-09:49:59,energy=0,fs/disk=2222813,mem=110616356K,pages=38676,vmem=144188K|energy=0,fs/disk=15388|144188K|128|1|redraider||4027Mc|
