Partition|NodeList|Group|User|JobName|JobID|Submit|Start|End|ExitCode|CPUTimeRAW|TRESUsageInTot|TRESUsageOutTot|MaxVMSize|AllocCPUS|NTasks|Cluster|TimelimitRaw|ReqMem|
matador|gpu-21-5|chem|rliang|job10|8327|2020-11-02T11:25:17|2020-11-02T11:25:18|2020-11-04T07:25:20|0:0|158402||||1||redraider|2640|9639Mc|
|gpu-21-5|||batch|8327.batch|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:22|0:15|158404|cpu=00:00:00,energy=0,fs/disk=107750,mem=4548K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-5|||extern|8327.extern|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:20|0:0|158402|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=4352K|energy=0,fs/disk=0|4352K|1|1|redraider||9639Mc|
|gpu-21-5|||run.sh|8327.0|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:53|0:15|158435|cpu=1-19:48:27,energy=0,fs/disk=16231902,mem=7252.50M,pages=73953,vmem=146436K|energy=0,fs/disk=43012|146436K|1|1|redraider||9639Mc|
matador|gpu-21-7|chem|rliang|job11|8328|2020-11-02T11:25:17|2020-11-02T11:25:18|2020-11-04T07:25:20|0:0|158402||||1||redraider|2640|9639Mc|
|gpu-21-7|||batch|8328.batch|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:22|0:15|158404|cpu=00:00:00,energy=0,fs/disk=107748,mem=4560K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
|gpu-21-7|||extern|8328.extern|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:20|0:0|158402|cpu=00:00:00,energy=0,fs/disk=2188,mem=0,pages=0,vmem=143220K|energy=0,fs/disk=0|143220K|1|1|redraider||9639Mc|
|gpu-21-7|||run.sh|8328.0|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:53|0:15|158435|cpu=1-19:48:00,energy=0,fs/disk=16231902,mem=7338112K,pages=75669,vmem=146436K|energy=0,fs/disk=43011|146436K|1|1|redraider||9639Mc|
matador|gpu-21-8|chem|rliang|job12|8329|2020-11-02T11:25:17|2020-11-02T11:25:18|2020-11-04T07:25:20|0:0|158402||||1||redraider|2640|9639Mc|
|gpu-21-8|||batch|8329.batch|2020-11-02T11:25:18|2020-11-02T11:25:18|2020-11-04T07:25:22|0:15|158404|cpu=00:00:00,energy=0,fs/disk=107748,mem=4552K,pages=0,vmem=143524K|energy=0,fs/disk=227|143524K|1|1|redraider||9639Mc|
